Experimental band gap,chemicalFormula,Computed band gap,composition,MagpieData minimum Number,MagpieData maximum Number,MagpieData range Number,MagpieData mean Number,MagpieData avg_dev Number,MagpieData mode Number,MagpieData minimum MendeleevNumber,MagpieData maximum MendeleevNumber,MagpieData range MendeleevNumber,MagpieData mean MendeleevNumber,MagpieData avg_dev MendeleevNumber,MagpieData mode MendeleevNumber,MagpieData minimum AtomicWeight,MagpieData maximum AtomicWeight,MagpieData range AtomicWeight,MagpieData mean AtomicWeight,MagpieData avg_dev AtomicWeight,MagpieData mode AtomicWeight,MagpieData minimum MeltingT,MagpieData maximum MeltingT,MagpieData range MeltingT,MagpieData mean MeltingT,MagpieData avg_dev MeltingT,MagpieData mode MeltingT,MagpieData minimum Column,MagpieData maximum Column,MagpieData range Column,MagpieData mean Column,MagpieData avg_dev Column,MagpieData mode Column,MagpieData minimum Row,MagpieData maximum Row,MagpieData range Row,MagpieData mean Row,MagpieData avg_dev Row,MagpieData mode Row,MagpieData minimum CovalentRadius,MagpieData maximum CovalentRadius,MagpieData range CovalentRadius,MagpieData mean CovalentRadius,MagpieData avg_dev CovalentRadius,MagpieData mode CovalentRadius,MagpieData minimum Electronegativity,MagpieData maximum Electronegativity,MagpieData range Electronegativity,MagpieData mean Electronegativity,MagpieData avg_dev Electronegativity,MagpieData mode Electronegativity,MagpieData minimum NsValence,MagpieData maximum NsValence,MagpieData range NsValence,MagpieData mean NsValence,MagpieData avg_dev NsValence,MagpieData mode NsValence,MagpieData minimum NpValence,MagpieData maximum NpValence,MagpieData range NpValence,MagpieData mean NpValence,MagpieData avg_dev NpValence,MagpieData mode NpValence,MagpieData minimum NdValence,MagpieData maximum NdValence,MagpieData range NdValence,MagpieData mean NdValence,MagpieData avg_dev NdValence,MagpieData mode NdValence,MagpieData minimum NfValence,MagpieData maximum NfValence,MagpieData range NfValence,MagpieData mean NfValence,MagpieData avg_dev NfValence,MagpieData mode NfValence,MagpieData minimum NValence,MagpieData maximum NValence,MagpieData range NValence,MagpieData mean NValence,MagpieData avg_dev NValence,MagpieData mode NValence,MagpieData minimum NsUnfilled,MagpieData maximum NsUnfilled,MagpieData range NsUnfilled,MagpieData mean NsUnfilled,MagpieData avg_dev NsUnfilled,MagpieData mode NsUnfilled,MagpieData minimum NpUnfilled,MagpieData maximum NpUnfilled,MagpieData range NpUnfilled,MagpieData mean NpUnfilled,MagpieData avg_dev NpUnfilled,MagpieData mode NpUnfilled,MagpieData minimum NdUnfilled,MagpieData maximum NdUnfilled,MagpieData range NdUnfilled,MagpieData mean NdUnfilled,MagpieData avg_dev NdUnfilled,MagpieData mode NdUnfilled,MagpieData minimum NfUnfilled,MagpieData maximum NfUnfilled,MagpieData range NfUnfilled,MagpieData mean NfUnfilled,MagpieData avg_dev NfUnfilled,MagpieData mode NfUnfilled,MagpieData minimum NUnfilled,MagpieData maximum NUnfilled,MagpieData range NUnfilled,MagpieData mean NUnfilled,MagpieData avg_dev NUnfilled,MagpieData mode NUnfilled,MagpieData minimum GSvolume_pa,MagpieData maximum GSvolume_pa,MagpieData range GSvolume_pa,MagpieData mean GSvolume_pa,MagpieData avg_dev GSvolume_pa,MagpieData mode GSvolume_pa,MagpieData minimum GSbandgap,MagpieData maximum GSbandgap,MagpieData range GSbandgap,MagpieData mean GSbandgap,MagpieData avg_dev GSbandgap,MagpieData mode GSbandgap,MagpieData minimum GSmagmom,MagpieData maximum GSmagmom,MagpieData range GSmagmom,MagpieData mean GSmagmom,MagpieData avg_dev GSmagmom,MagpieData mode GSmagmom,MagpieData minimum SpaceGroupNumber,MagpieData maximum SpaceGroupNumber,MagpieData range SpaceGroupNumber,MagpieData mean SpaceGroupNumber,MagpieData avg_dev SpaceGroupNumber,MagpieData mode SpaceGroupNumber
2,As2S3,2.1971,As2 S3,16,33,17,22.8,8.16,16,84,88,4,86.4,1.92,88,32.065,74.9216,42.8566,49.20764,20.571168,32.065,388.36,1090,701.64,669.016,336.7872,388.36,15,16,1,15.6,0.48,16,3,4,1,3.4,0.48,3,105,119,14,110.6,6.72,105,2.18,2.58,0.4,2.42,0.192,2.58,2,2,0,2,0,2,3,4,1,3.6,0.48,4,0,10,10,4,4.8,0,0,0,0,0,0,0,6,15,9,9.6,4.32,6,0,0,0,0,0,0,2,3,1,2.4,0.48,2,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,2.4,0.48,2,22.175,25.786875,3.611875,24.342125,1.7337,25.786875,0,2.202,2.202,1.3212,1.05696,2.202,0,0,0,0,0,0,70,166,96,108.4,46.08,70
0.57,Mg2Ge1,0.2505,Mg2 Ge1,12,32,20,18.66666667,8.888888889,12,68,79,11,71.66666667,4.888888889,68,24.305,72.64,48.335,40.41666667,21.48222222,24.305,923,1211.4,288.4,1019.133333,128.1777778,923,2,14,12,6,5.333333333,2,3,4,1,3.333333333,0.4444444444,3,120,141,21,134,9.333333333,141,1.31,2.01,0.7,1.543333333,0.3111111111,1.31,2,2,0,2,0,2,0,2,2,0.6666666667,0.8888888889,0,0,10,10,3.333333333,4.444444444,0,0,0,0,0,0,0,2,14,12,6,5.333333333,2,0,0,0,0,0,0,0,4,4,1.333333333,1.777777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1.333333333,1.777777778,0,22.89,23.005,0.115,22.92833333,0.05111111111,22.89,0,0.383,0.383,0.1276666667,0.1702222222,0,0,0,0,0,0,0,194,225,31,204.3333333,13.77777778,194
6,Ca1S1,2.5596,Ca1 S1,16,20,4,18,2,16,7,88,81,47.5,40.5,7,32.065,40.078,8.013,36.0715,4.0065,32.065,388.36,1115,726.64,751.68,363.32,388.36,2,16,14,9,7,2,3,4,1,3.5,0.5,3,105,176,71,140.5,35.5,105,1,2.58,1.58,1.79,0.79,1,2,2,0,2,0,2,0,4,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,4,4,2,2,0,0,0,0,0,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,0,25.786875,37.77,11.983125,31.7784375,5.9915625,25.786875,0,2.202,2.202,1.101,1.101,0,0,0,0,0,0,0,70,225,155,147.5,77.5,70
2.676,Ag1Br1,1.1708,Ag1 Br1,35,47,12,41,6,35,65,95,30,80,15,65,79.904,107.8682,27.9642,93.8861,13.9821,79.904,265.8,1234.93,969.13,750.365,484.565,265.8,11,17,6,14,3,11,4,5,1,4.5,0.5,4,120,145,25,132.5,12.5,120,1.93,2.96,1.03,2.445,0.515,1.93,1,2,1,1.5,0.5,1,0,5,5,2.5,2.5,0,10,10,0,10,0,10,0,0,0,0,0,0,11,17,6,14,3,11,0,1,1,0.5,0.5,0,0,1,1,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,16.33,29.48,13.15,22.905,6.575,16.33,0,1.457,1.457,0.7285,0.7285,0,0,0,0,0,0,0,64,225,161,144.5,80.5,64
2.35,Zn1Te1,1.0782,Zn1 Te1,30,52,22,41,11,30,69,90,21,79.5,10.5,69,65.38,127.6,62.22,96.49,31.11,65.38,692.68,722.66,29.98,707.67,14.99,692.68,12,16,4,14,2,12,4,5,1,4.5,0.5,4,122,138,16,130,8,122,1.65,2.1,0.45,1.875,0.225,1.65,2,2,0,2,0,2,0,4,4,2,2,0,10,10,0,10,0,10,0,0,0,0,0,0,12,16,4,14,2,12,0,0,0,0,0,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,0,13.96,34.76333333,20.80333333,24.36166667,10.40166667,13.96,0,0.464,0.464,0.232,0.232,0,0,0,0,0,0,0,152,194,42,173,21,152
1.25,Zr1Se3,0.557,Zr1 Se3,34,40,6,35.5,2.25,34,44,89,45,77.75,16.875,89,78.96,91.224,12.264,82.026,4.599,78.96,494,2128,1634,902.5,612.75,494,4,16,12,13,4.5,16,4,5,1,4.25,0.375,4,120,175,55,133.75,20.625,120,1.33,2.55,1.22,2.245,0.4575,2.55,2,2,0,2,0,2,0,4,4,3,1.5,4,2,10,8,8,3,10,0,0,0,0,0,0,4,16,12,13,4.5,16,0,0,0,0,0,0,0,2,2,1.5,0.75,2,0,8,8,2,3,0,0,0,0,0,0,0,2,8,6,3.5,2.25,2,23.195,25.92,2.725,25.23875,1.021875,25.92,0,0.799,0.799,0.59925,0.299625,0.799,0,0,0,0,0,0,14,194,180,59,67.5,14
0.015,Cr3Se4,0,Cr3 Se4,24,34,10,29.71428571,4.897959184,34,49,89,40,71.85714286,19.59183673,89,51.9961,78.96,26.9639,67.40404286,13.20680816,78.96,494,2180,1686,1216.571429,825.7959184,494,6,16,10,11.71428571,4.897959184,16,4,4,0,4,0,4,120,139,19,128.1428571,9.306122449,120,1.66,2.55,0.89,2.168571429,0.4359183673,2.55,1,2,1,1.571428571,0.4897959184,2,0,4,4,2.285714286,1.959183673,4,5,10,5,7.857142857,2.448979592,10,0,0,0,0,0,0,6,16,10,11.71428571,4.897959184,16,0,1,1,0.4285714286,0.4897959184,0,0,2,2,1.142857143,0.9795918367,2,0,5,5,2.142857143,2.448979592,0,0,0,0,0,0,0,2,6,4,3.714285714,1.959183673,2,11.19,25.92,14.73,19.60714286,7.214693878,25.92,0,0.799,0.799,0.4565714286,0.3913469388,0.799,0,0,0,0,0,0,14,229,215,106.1428571,105.3061224,14
0.7,Hg1S1,0,Hg1 S1,16,80,64,48,32,16,71,88,17,79.5,8.5,71,32.065,200.59,168.525,116.3275,84.2625,32.065,234.32,388.36,154.04,311.34,77.02,234.32,12,16,4,14,2,12,3,6,3,4.5,1.5,3,105,132,27,118.5,13.5,105,2,2.58,0.58,2.29,0.29,2,2,2,0,2,0,2,0,4,4,2,2,0,0,10,10,5,5,0,0,14,14,7,7,0,6,26,20,16,10,6,0,0,0,0,0,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,0,25.23758621,25.786875,0.5492887931,25.5122306,0.2746443965,25.23758621,0,2.202,2.202,1.101,1.101,0,0,0,0,0,0,0,70,166,96,118,48,70
1.68,Cr2O3,2.4343,Cr2 O3,8,24,16,14.4,7.68,8,49,87,38,71.8,18.24,87,15.9994,51.9961,35.9967,30.39808,17.278416,15.9994,54.8,2180,2125.2,904.88,1020.096,54.8,6,16,10,12,4.8,16,2,4,2,2.8,0.96,2,66,139,73,95.2,35.04,66,1.66,3.44,1.78,2.728,0.8544,3.44,1,2,1,1.6,0.48,2,0,4,4,2.4,1.92,4,0,5,5,2,2.4,0,0,0,0,0,0,0,6,6,0,6,0,6,0,1,1,0.4,0.48,0,0,2,2,1.2,0.96,2,0,5,5,2,2.4,0,0,0,0,0,0,0,2,6,4,3.6,1.92,2,9.105,11.19,2.085,9.939,1.0008,9.105,0,0,0,0,0,0,0,0,0,0,0,0,12,229,217,98.8,104.16,12
2.69,Ge1Se2,1.6631,Ge1 Se2,32,34,2,33.33333333,0.8888888889,34,79,89,10,85.66666667,4.444444444,89,72.64,78.96,6.32,76.85333333,2.808888889,78.96,494,1211.4,717.4,733.1333333,318.8444444,494,14,16,2,15.33333333,0.8888888889,16,4,4,0,4,0,4,120,120,0,120,0,120,2.01,2.55,0.54,2.37,0.24,2.55,2,2,0,2,0,2,2,4,2,3.333333333,0.8888888889,4,10,10,0,10,0,10,0,0,0,0,0,0,14,16,2,15.33333333,0.8888888889,16,0,0,0,0,0,0,2,4,2,2.666666667,0.8888888889,2,0,0,0,0,0,0,0,0,0,0,0,0,2,4,2,2.666666667,0.8888888889,2,23.005,25.92,2.915,24.94833333,1.295555556,25.92,0.383,0.799,0.416,0.6603333333,0.1848888889,0.799,0,0,0,0,0,0,14,225,211,84.33333333,93.77777778,14
1,Ge1As2,0.7206,Ge1 As2,32,33,1,32.66666667,0.4444444444,33,79,84,5,82.33333333,2.222222222,84,72.64,74.9216,2.2816,74.16106667,1.014044444,74.9216,1090,1211.4,121.4,1130.466667,53.95555556,1090,14,15,1,14.66666667,0.4444444444,15,4,4,0,4,0,4,119,120,1,119.3333333,0.4444444444,119,2.01,2.18,0.17,2.123333333,0.07555555556,2.18,2,2,0,2,0,2,2,3,1,2.666666667,0.4444444444,3,10,10,0,10,0,10,0,0,0,0,0,0,14,15,1,14.66666667,0.4444444444,15,0,0,0,0,0,0,3,4,1,3.333333333,0.4444444444,3,0,0,0,0,0,0,0,0,0,0,0,0,3,4,1,3.333333333,0.4444444444,3,22.175,23.005,0.83,22.45166667,0.3688888889,22.175,0,0.383,0.383,0.1276666667,0.1702222222,0,0,0,0,0,0,0,166,225,59,185.6666667,26.22222222,166
4.1,La1B6,0,La1 B6,5,57,52,12.42857143,12.73469388,5,13,72,59,63.57142857,14.44897959,72,10.811,138.90547,128.09447,29.11021,31.37007429,10.811,1193,2348,1155,2183,282.8571429,2348,3,13,10,11.57142857,2.448979592,13,2,6,4,2.571428571,0.9795918367,2,84,207,123,101.5714286,30.12244898,84,1.1,2.04,0.94,1.905714286,0.2302040816,2.04,2,2,0,2,0,2,0,1,1,0.8571428571,0.2448979592,1,0,1,1,0.1428571429,0.2448979592,0,0,0,0,0,0,0,3,3,0,3,0,3,0,0,0,0,0,0,0,5,5,4.285714286,1.224489796,5,0,9,9,1.285714286,2.204081633,0,0,0,0,0,0,0,5,9,4,5.571428571,0.9795918367,5,7.1725,36.8975,29.725,11.41892857,7.279591837,7.1725,0,1.524,1.524,1.306285714,0.3732244898,1.524,0,0,0,0,0,0,166,194,28,170,6.857142857,166
7.77,Mg1O1,4.638,Mg1 O1,8,12,4,10,2,8,68,87,19,77.5,9.5,68,15.9994,24.305,8.3056,20.1522,4.1528,15.9994,54.8,923,868.2,488.9,434.1,54.8,2,16,14,9,7,2,2,3,1,2.5,0.5,2,66,141,75,103.5,37.5,66,1.31,3.44,2.13,2.375,1.065,1.31,2,2,0,2,0,2,0,4,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,4,4,2,2,0,0,0,0,0,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,0,9.105,22.89,13.785,15.9975,6.8925,9.105,0,0,0,0,0,0,0,0,0,0,0,0,12,194,182,103,91,12
2.8,As2S3,2.1971,As2 S3,16,33,17,22.8,8.16,16,84,88,4,86.4,1.92,88,32.065,74.9216,42.8566,49.20764,20.571168,32.065,388.36,1090,701.64,669.016,336.7872,388.36,15,16,1,15.6,0.48,16,3,4,1,3.4,0.48,3,105,119,14,110.6,6.72,105,2.18,2.58,0.4,2.42,0.192,2.58,2,2,0,2,0,2,3,4,1,3.6,0.48,4,0,10,10,4,4.8,0,0,0,0,0,0,0,6,15,9,9.6,4.32,6,0,0,0,0,0,0,2,3,1,2.4,0.48,2,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,2.4,0.48,2,22.175,25.786875,3.611875,24.342125,1.7337,25.786875,0,2.202,2.202,1.3212,1.05696,2.202,0,0,0,0,0,0,70,166,96,108.4,46.08,70
0.585,Cd1Sb1,0.0532,Cd1 Sb1,48,51,3,49.5,1.5,48,70,85,15,77.5,7.5,70,112.411,121.76,9.349,117.0855,4.6745,112.411,594.22,903.78,309.56,749,154.78,594.22,12,15,3,13.5,1.5,12,5,5,0,5,0,5,139,144,5,141.5,2.5,139,1.69,2.05,0.36,1.87,0.18,1.69,2,2,0,2,0,2,0,3,3,1.5,1.5,0,10,10,0,10,0,10,0,0,0,0,0,0,12,15,3,13.5,1.5,12,0,0,0,0,0,0,0,3,3,1.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1.5,1.5,0,19.495,31.56,12.065,25.5275,6.0325,19.495,0,0,0,0,0,0,0,0,0,0,0,0,166,194,28,180,14,166
2.32,As2S3,2.1971,As2 S3,16,33,17,22.8,8.16,16,84,88,4,86.4,1.92,88,32.065,74.9216,42.8566,49.20764,20.571168,32.065,388.36,1090,701.64,669.016,336.7872,388.36,15,16,1,15.6,0.48,16,3,4,1,3.4,0.48,3,105,119,14,110.6,6.72,105,2.18,2.58,0.4,2.42,0.192,2.58,2,2,0,2,0,2,3,4,1,3.6,0.48,4,0,10,10,4,4.8,0,0,0,0,0,0,0,6,15,9,9.6,4.32,6,0,0,0,0,0,0,2,3,1,2.4,0.48,2,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,2.4,0.48,2,22.175,25.786875,3.611875,24.342125,1.7337,25.786875,0,2.202,2.202,1.3212,1.05696,2.202,0,0,0,0,0,0,70,166,96,108.4,46.08,70
0.28,Ag2Te1,0,Ag2 Te1,47,52,5,48.66666667,2.222222222,47,65,90,25,73.33333333,11.11111111,65,107.8682,127.6,19.7318,114.4454667,8.769688889,107.8682,722.66,1234.93,512.27,1064.173333,227.6755556,1234.93,11,16,5,12.66666667,2.222222222,11,5,5,0,5,0,5,138,145,7,142.6666667,3.111111111,145,1.93,2.1,0.17,1.986666667,0.07555555556,1.93,1,2,1,1.333333333,0.4444444444,1,0,4,4,1.333333333,1.777777778,0,10,10,0,10,0,10,0,0,0,0,0,0,11,16,5,12.66666667,2.222222222,11,0,1,1,0.6666666667,0.4444444444,1,0,2,2,0.6666666667,0.8888888889,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1.333333333,0.4444444444,1,16.33,34.76333333,18.43333333,22.47444444,8.192592593,16.33,0,0.464,0.464,0.1546666667,0.2062222222,0,0,0,0,0,0,0,152,225,73,200.6666667,32.44444444,225
1.1,As2Se3,0.625,As2 Se3,33,34,1,33.6,0.48,34,84,89,5,87,2.4,89,74.9216,78.96,4.0384,77.34464,1.938432,78.96,494,1090,596,732.4,286.08,494,15,16,1,15.6,0.48,16,4,4,0,4,0,4,119,120,1,119.6,0.48,120,2.18,2.55,0.37,2.402,0.1776,2.55,2,2,0,2,0,2,3,4,1,3.6,0.48,4,10,10,0,10,0,10,0,0,0,0,0,0,15,16,1,15.6,0.48,16,0,0,0,0,0,0,2,3,1,2.4,0.48,2,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,2.4,0.48,2,22.175,25.92,3.745,24.422,1.7976,25.92,0,0.799,0.799,0.4794,0.38352,0.799,0,0,0,0,0,0,14,166,152,74.8,72.96,14
5.8,Na1I1,3.5692,Na1 I1,11,53,42,32,21,11,2,96,94,49,47,2,22.98976928,126.90447,103.9147007,74.94711964,51.95735036,22.98976928,370.87,386.85,15.98,378.86,7.99,370.87,1,17,16,9,8,1,3,5,2,4,1,3,139,166,27,152.5,13.5,139,0.93,2.66,1.73,1.795,0.865,0.93,1,2,1,1.5,0.5,1,0,5,5,2.5,2.5,0,0,10,10,5,5,0,0,0,0,0,0,0,1,17,16,9,8,1,0,1,1,0.5,0.5,0,0,1,1,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,29.24333333,43.015,13.77166667,36.12916667,6.885833333,29.24333333,0,1.062,1.062,0.531,0.531,0,0,0,0,0,0,0,64,229,165,146.5,82.5,64
1,Cd1As2,0.1932,Cd1 As2,33,48,15,38,6.666666667,33,70,84,14,79.33333333,6.222222222,84,74.9216,112.411,37.4894,87.41806667,16.66195556,74.9216,594.22,1090,495.78,924.74,220.3466667,1090,12,15,3,14,1.333333333,15,4,5,1,4.333333333,0.4444444444,4,119,144,25,127.3333333,11.11111111,119,1.69,2.18,0.49,2.016666667,0.2177777778,2.18,2,2,0,2,0,2,0,3,3,2,1.333333333,3,10,10,0,10,0,10,0,0,0,0,0,0,12,15,3,14,1.333333333,15,0,0,0,0,0,0,0,3,3,2,1.333333333,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,1.333333333,3,19.495,22.175,2.68,21.28166667,1.191111111,22.175,0,0,0,0,0,0,0,0,0,0,0,0,166,194,28,175.3333333,12.44444444,166
0.234,In1Sb1,0,In1 Sb1,49,51,2,50,1,49,75,85,10,80,5,75,114.818,121.76,6.942,118.289,3.471,114.818,429.75,903.78,474.03,666.765,237.015,429.75,13,15,2,14,1,13,5,5,0,5,0,5,139,142,3,140.5,1.5,139,1.78,2.05,0.27,1.915,0.135,1.78,2,2,0,2,0,2,1,3,2,2,1,1,10,10,0,10,0,10,0,0,0,0,0,0,13,15,2,14,1,13,0,0,0,0,0,0,3,5,2,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,3,5,2,4,1,3,24.26,31.56,7.3,27.91,3.65,24.26,0,0,0,0,0,0,0,0,0,0,0,0,139,166,27,152.5,13.5,139
0.65,Ge1As1,0.6389,Ge1 As1,32,33,1,32.5,0.5,32,79,84,5,81.5,2.5,79,72.64,74.9216,2.2816,73.7808,1.1408,72.64,1090,1211.4,121.4,1150.7,60.7,1090,14,15,1,14.5,0.5,14,4,4,0,4,0,4,119,120,1,119.5,0.5,119,2.01,2.18,0.17,2.095,0.085,2.01,2,2,0,2,0,2,2,3,1,2.5,0.5,2,10,10,0,10,0,10,0,0,0,0,0,0,14,15,1,14.5,0.5,14,0,0,0,0,0,0,3,4,1,3.5,0.5,3,0,0,0,0,0,0,0,0,0,0,0,0,3,4,1,3.5,0.5,3,22.175,23.005,0.83,22.59,0.415,22.175,0,0.383,0.383,0.1915,0.1915,0,0,0,0,0,0,0,166,225,59,195.5,29.5,166
7.03,Ca1O1,3.6919,Ca1 O1,8,20,12,14,6,8,7,87,80,47,40,7,15.9994,40.078,24.0786,28.0387,12.0393,15.9994,54.8,1115,1060.2,584.9,530.1,54.8,2,16,14,9,7,2,2,4,2,3,1,2,66,176,110,121,55,66,1,3.44,2.44,2.22,1.22,1,2,2,0,2,0,2,0,4,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,4,4,2,2,0,0,0,0,0,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,0,9.105,37.77,28.665,23.4375,14.3325,9.105,0,0,0,0,0,0,0,0,0,0,0,0,12,225,213,118.5,106.5,12
1.58,Ge1S1,1.237,Ge1 S1,16,32,16,24,8,16,79,88,9,83.5,4.5,79,32.065,72.64,40.575,52.3525,20.2875,32.065,388.36,1211.4,823.04,799.88,411.52,388.36,14,16,2,15,1,14,3,4,1,3.5,0.5,3,105,120,15,112.5,7.5,105,2.01,2.58,0.57,2.295,0.285,2.01,2,2,0,2,0,2,2,4,2,3,1,2,0,10,10,5,5,0,0,0,0,0,0,0,6,14,8,10,4,6,0,0,0,0,0,0,2,4,2,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2,4,2,3,1,2,23.005,25.786875,2.781875,24.3959375,1.3909375,23.005,0.383,2.202,1.819,1.2925,0.9095,0.383,0,0,0,0,0,0,70,225,155,147.5,77.5,70
2.205,Al1As1,1.6871,Al1 As1,13,33,20,23,10,13,73,84,11,78.5,5.5,73,26.9815386,74.9216,47.9400614,50.9515693,23.9700307,26.9815386,933.47,1090,156.53,1011.735,78.265,933.47,13,15,2,14,1,13,3,4,1,3.5,0.5,3,119,121,2,120,1,119,1.61,2.18,0.57,1.895,0.285,1.61,2,2,0,2,0,2,1,3,2,2,1,1,0,10,10,5,5,0,0,0,0,0,0,0,3,15,12,9,6,3,0,0,0,0,0,0,3,5,2,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,3,5,2,4,1,3,16.48,22.175,5.695,19.3275,2.8475,16.48,0,0,0,0,0,0,0,0,0,0,0,0,166,225,59,195.5,29.5,166
0.145,Bi2Te3,0.3861,Bi2 Te3,52,83,31,64.4,14.88,52,86,90,4,88.4,1.92,90,127.6,208.9804,81.3804,160.15216,39.062592,127.6,544.4,722.66,178.26,651.356,85.5648,722.66,15,16,1,15.6,0.48,16,5,6,1,5.4,0.48,5,138,148,10,142,4.8,138,2.02,2.1,0.08,2.068,0.0384,2.1,2,2,0,2,0,2,3,4,1,3.6,0.48,4,10,10,0,10,0,10,0,14,14,5.6,6.72,0,16,29,13,21.2,6.24,16,0,0,0,0,0,0,2,3,1,2.4,0.48,2,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,2.4,0.48,2,32.95,34.76333333,1.813333333,34.038,0.8704,34.76333333,0,0.464,0.464,0.2784,0.22272,0.464,0,0,0,0,0,0,12,152,140,96,67.2,152
2.4,As4S4,2.1214,As4 S4,16,33,17,24.5,8.5,16,84,88,4,86,2,84,32.065,74.9216,42.8566,53.4933,21.4283,32.065,388.36,1090,701.64,739.18,350.82,388.36,15,16,1,15.5,0.5,15,3,4,1,3.5,0.5,3,105,119,14,112,7,105,2.18,2.58,0.4,2.38,0.2,2.18,2,2,0,2,0,2,3,4,1,3.5,0.5,3,0,10,10,5,5,0,0,0,0,0,0,0,6,15,9,10.5,4.5,6,0,0,0,0,0,0,2,3,1,2.5,0.5,2,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,2.5,0.5,2,22.175,25.786875,3.611875,23.9809375,1.8059375,22.175,0,2.202,2.202,1.101,1.101,0,0,0,0,0,0,0,70,166,96,118,48,70
0.46,Sm1Se1,0,Sm1 Se1,34,62,28,48,14,34,23,89,66,56,33,23,78.96,150.36,71.4,114.66,35.7,78.96,494,1345,851,919.5,425.5,494,3,16,13,9.5,6.5,3,4,6,2,5,1,4,120,198,78,159,39,120,1.17,2.55,1.38,1.86,0.69,1.17,2,2,0,2,0,2,0,4,4,2,2,0,0,10,10,5,5,0,0,6,6,3,3,0,8,16,8,12,4,8,0,0,0,0,0,0,0,2,2,1,1,0,0,0,0,0,0,0,0,8,8,4,4,0,2,8,6,5,3,2,25.92,33.23,7.31,29.575,3.655,25.92,0,0.799,0.799,0.3995,0.3995,0,0,0,0,0,0,0,14,166,152,90,76,14
2.3,Cd1O1,0,Cd1 O1,8,48,40,28,20,8,70,87,17,78.5,8.5,70,15.9994,112.411,96.4116,64.2052,48.2058,15.9994,54.8,594.22,539.42,324.51,269.71,54.8,12,16,4,14,2,12,2,5,3,3.5,1.5,2,66,144,78,105,39,66,1.69,3.44,1.75,2.565,0.875,1.69,2,2,0,2,0,2,0,4,4,2,2,0,0,10,10,5,5,0,0,0,0,0,0,0,6,12,6,9,3,6,0,0,0,0,0,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,0,9.105,19.495,10.39,14.3,5.195,9.105,0,0,0,0,0,0,0,0,0,0,0,0,12,194,182,103,91,12
1.05,Cu2S1,0.3475,Cu2 S1,16,29,13,24.66666667,5.777777778,29,64,88,24,72,10.66666667,64,32.065,63.546,31.481,53.05233333,13.99155556,63.546,388.36,1357.77,969.41,1034.633333,430.8488889,1357.77,11,16,5,12.66666667,2.222222222,11,3,4,1,3.666666667,0.4444444444,4,105,132,27,123,12,132,1.9,2.58,0.68,2.126666667,0.3022222222,1.9,1,2,1,1.333333333,0.4444444444,1,0,4,4,1.333333333,1.777777778,0,0,10,10,6.666666667,4.444444444,10,0,0,0,0,0,0,6,11,5,9.333333333,2.222222222,11,0,1,1,0.6666666667,0.4444444444,1,0,2,2,0.6666666667,0.8888888889,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1.333333333,0.4444444444,1,11.07,25.786875,14.716875,15.975625,6.540833333,11.07,0,2.202,2.202,0.734,0.9786666667,0,0,0,0,0,0,0,70,225,155,173.3333333,68.88888889,225
